Id,Date,Price,Cohort.new
1186045,2001-12-10,116.85,4
1186045,2002-09-20,104.85,4
1268767,2001-12-14,33.95,4
1384135,2001-12-16,459.8,4
1384135,2002-12-17,713.5,4
1384135,2003-12-15,199.85,4
1392934,2001-12-14,22.95,4
1424360,2001-12-16,55.95,4
1424360,2007-11-28,53.9,4
1439842,2001-12-17,37.95,4
1439842,2002-12-16,172.85,4
1449525,2001-12-01,75.95,4
1449525,2002-11-30,37.95,4
1449525,2003-12-16,50.9,4
1454874,2001-12-12,147.8,4
1454874,2003-12-06,37.95,4
1454874,2004-01-13,37.9,4
1454874,2004-12-03,37.95,4
1454874,2005-06-14,23.95,4
1454874,2005-09-08,51.9,4
1468009,2001-12-13,80.9,4
1482516,2001-12-06,128.8,4
1563081,2001-12-06,75.9,4
1563081,2003-12-17,35.95,4
1615535,2001-12-08,51.9,4
1627185,2001-12-11,52.95,4
1627185,2002-11-17,37.95,4
1627185,2003-11-26,55.95,4
1682945,2001-12-04,101.85,4
169878,2001-12-07,37.95,4
1709860,2001-12-16,28.95,4
174462,2001-12-17,164.9,4
174462,2003-06-13,97.95,4
1759520,2001-12-07,56.95,4
1759520,2002-06-06,47.95,4
1759520,2002-12-19,47.95,4
1759520,2003-08-08,71.85,4
1759520,2003-10-25,41.95,4
1759520,2003-12-12,47.95,4
1759520,2004-11-19,69.95,4
1759520,2005-09-26,30.95,4
1759520,2005-10-24,125.9,4
1759520,2007-11-17,41.95,4
176320,2001-12-05,111.8,4
176320,2002-11-30,136.75,4
176320,2003-11-26,215.65,4
176320,2004-12-07,105.85,4
176320,2005-12-04,99.8,4
176320,2006-11-17,187.7,4
176320,2007-12-09,212.7,4
1824223,2001-12-03,146.85,4
1824223,2002-12-03,45.9,4
1824223,2004-11-24,66.95,4
1824223,2005-11-29,24.95,4
1824223,2006-11-05,152.9,4
1874995,2001-12-05,76.85,4
1874995,2003-12-02,71.9,4
1874995,2004-12-03,79.9,4
1874995,2005-08-10,63.9,4
1874995,2005-12-12,18.95,4
1882238,2001-12-17,28.95,4
188376,2001-12-16,42.95,4
1937772,2001-12-14,47.95,4
1937772,2002-09-04,28.95,4
1990072,2001-12-11,25.95,4
1990072,2002-12-21,28.95,4
2136144,2001-12-11,97.9,4
2159482,2001-12-17,113.95,4
2159482,2002-12-18,137.95,4
2159482,2003-12-16,151.95,4
2159482,2006-12-11,161.95,4
2159482,2007-12-16,175.95,4
2171772,2001-12-03,1124.65,4
2171772,2002-12-03,699.8,4
2171772,2003-12-10,744.8,4
2171772,2004-12-12,578.85,4
2171772,2005-12-12,484.85,4
2171772,2006-12-26,320.9,4
2192713,2001-12-09,47.95,4
2192713,2002-12-08,117.9,4
2192713,2004-11-30,28.95,4
2192713,2005-12-12,37.95,4
2197681,2001-12-13,47.9,4
2197681,2002-12-13,65.85,4
2197681,2003-11-24,134.8,4
2197681,2007-04-21,25.95,4
2197681,2007-12-02,76.85,4
229873,2001-12-19,94.95,4
229873,2006-02-07,103.9,4
229873,2006-06-20,66.95,4
229873,2007-06-12,42.95,4
31007720,2001-12-04,277.7,4
31007720,2002-12-08,244.75,4
31007720,2004-12-15,80.85,4
31007720,2004-12-26,35.95,4
31007720,2005-11-25,374.7,4
31019009,2001-12-03,62.9,4
31027224,2001-12-06,57.9,4
31027224,2005-12-20,26.95,4
31033536,2001-12-19,47.95,4
31063237,2001-12-07,28.95,4
31063237,2002-12-04,36.95,4
31063237,2003-12-06,28.95,4
31063237,2003-12-22,29.85,4
31063237,2004-12-04,31.95,4
31081839,2001-12-21,20.95,4
31081839,2002-12-13,47.9,4
31081839,2003-11-19,23.95,4
31083966,2001-12-20,37.95,4
31083966,2002-12-18,37.95,4
31083966,2003-12-06,37.95,4
31083966,2004-12-19,191.85,4
31083966,2005-12-21,123.85,4
31083966,2006-12-19,156.85,4
31083966,2007-12-17,140.85,4
31099119,2001-12-29,27.95,4
31112824,2001-12-11,85.95,4
31112824,2002-12-01,95.9,4
31112824,2005-12-09,197.85,4
31113286,2001-12-16,47.95,4
31119457,2001-12-03,95.9,4
31119457,2006-12-12,231.85,4
31127096,2001-12-08,36.95,4
31127096,2003-12-03,41.95,4
31127096,2004-02-08,40.9,4
31127096,2005-02-03,47.9,4
31127096,2006-12-12,77.85,4
31133581,2001-12-16,61.95,4
31153664,2001-12-11,135.8,4
31153664,2002-12-11,34.95,4
31153664,2002-12-16,69.9,4
31153664,2003-12-11,71.9,4
31155490,2001-12-09,23.95,4
31155490,2002-12-04,23.95,4
31155490,2003-12-15,23.95,4
31155490,2005-12-12,34.95,4
31157867,2001-12-10,35.95,4
31159355,2001-12-19,23.95,4
31159355,2007-10-11,37.95,4
31159355,2007-12-20,66.9,4
31162294,2001-12-08,153.95,4
31168711,2001-12-12,106.85,4
31171175,2001-12-20,52.95,4
31172257,2001-12-14,117.9,4
31172257,2002-12-16,70.9,4
31172257,2003-12-17,69.95,4
31172257,2004-12-20,37.95,4
31172257,2005-03-09,37.95,4
31172257,2005-05-03,113.85,4
31172257,2006-12-12,37.95,4
31172257,2007-06-05,47.95,4
31172257,2007-07-30,30.95,4
31174324,2001-12-12,33.95,4
31174324,2004-01-14,75.95,4
31174324,2005-05-05,37.95,4
31174324,2005-06-02,39.95,4
31183044,2001-12-11,66.95,4
31184029,2001-12-20,291.75,4
31195865,2001-12-17,23.95,4
31199997,2001-12-19,37.95,4
31200225,2001-12-18,85.9,4
31202679,2001-12-03,123.95,4
31202679,2002-12-02,123.95,4
31202679,2003-12-01,167.95,4
31203855,2001-12-20,31.95,4
31203855,2007-05-05,45.8,4
31208129,2001-12-15,31.95,4
31208129,2005-03-26,38.85,4
31208129,2006-12-09,55.95,4
31221053,2001-12-19,107.85,4
31221092,2001-12-07,90.9,4
31221092,2002-09-05,37.95,4
31221092,2002-11-17,305.05,4
31221092,2002-11-21,131.75,4
31221092,2003-11-22,604.45,4
31221092,2003-12-10,381.4,4
31221092,2004-01-12,34.95,4
31221092,2004-12-12,32.95,4
31221092,2005-08-13,79.85,4
31221092,2005-08-18,46.95,4
31221092,2005-08-28,262.8,4
31221092,2005-11-25,47.95,4
31221092,2005-12-13,194.8,4
31221092,2006-09-07,236.7,4
31221092,2006-11-30,241.7,4
31221092,2007-02-05,78.9,4
31221092,2007-03-08,88.9,4
31221092,2007-12-10,399.8,4
31259289,2001-12-17,188.8,4
31259289,2002-12-16,231.75,4
31259289,2003-12-10,202.75,4
31259289,2004-12-15,47.95,4
31259289,2005-01-13,52.95,4
31259289,2006-12-13,58.95,4
31259289,2006-12-24,58.95,4
31285803,2001-12-07,68.95,4
31285803,2002-12-18,68.95,4
31292709,2001-12-16,191.9,4
31292709,2003-12-09,128.9,4
31292709,2007-12-12,413.75,4
31293659,2001-12-09,180.85,4
31293659,2002-12-12,199.85,4
31293659,2003-12-08,133.85,4
31293659,2004-12-07,207.85,4
31293659,2005-12-12,69.95,4
31293659,2006-12-07,157.8,4
31293659,2007-12-03,47.95,4
31295245,2001-12-11,285.9,4
31295245,2003-12-16,113.9,4
31295245,2004-12-19,150.85,4
31295245,2005-01-16,33.95,4
31295245,2006-12-08,390.75,4
31297970,2001-12-11,47.95,4
31297970,2003-12-23,35.95,4
31297970,2004-12-17,66.95,4
31297970,2005-12-19,94.95,4
31297970,2006-04-11,52.95,4
31297970,2006-05-11,37.95,4
31297970,2007-12-20,90.95,4
31299800,2001-12-06,37.95,4
31299800,2003-06-01,56.95,4
