Id,Date,Price,Cohort
10000094635,2006-12-06,11.25,1
10000094635,2005-01-09,76,1
10000094635,2005-10-22,61.11,1
10000094635,2006-03-02,45,1
10000094635,2006-07-25,33.8,1
10000094635,2007-11-07,150,1
10000094635,2008-03-11,56.7,1
10000094635,2009-03-07,45,1
10000094635,2009-03-19,49.8,1
10000094635,2009-03-26,24,1
10000094635,2009-06-06,17,1
10000094635,2009-08-06,145,1
10000094635,2009-10-07,435.35,1
10000094635,2010-06-09,13,1
10000094635,2010-09-16,30.02,1
10000094635,2010-12-04,100,1
10000094635,2012-07-18,67.5,1
10000094635,2012-07-29,29.3,1
10001027372,2005-01-03,39,1
10001027372,2006-07-10,24.5,1
10001027372,2006-07-17,32.5,1
10001027372,2006-07-31,24.5,1
10001027372,2006-09-25,94.85,1
10001027372,2006-11-28,32.5,1
10001027372,2006-11-29,24.5,1
10001027372,2006-12-11,24.5,1
10001027372,2007-02-06,42.35,1
10001027372,2007-03-19,24.5,1
10001111283,2006-04-06,400,1
10001111283,2006-07-23,98.88,1
10001111283,2005-01-09,72.5,1
10001111283,2005-02-22,128,1
10001111283,2006-01-15,49.88,1
10001111283,2006-03-06,78.9,1
10001111283,2006-10-22,73.45,1
10001111283,2007-02-20,12.5,1
10001111283,2007-02-22,25,1
10001111283,2007-03-27,14.91,1
10001111283,2007-04-04,120,1
10001111283,2007-09-17,239.74,1
10001111283,2007-11-28,526.28,1
10001111283,2008-02-05,51.86,1
10001111283,2008-04-30,67.62,1
10001111283,2008-07-20,85.72,1
10001111283,2008-08-12,88.63,1
10001111283,2011-12-06,259.16,1
10001111283,2009-07-07,148,1
10001111283,2009-07-09,87,1
10001111283,2009-08-20,90,1
10001111283,2009-10-17,100,1
10001111283,2010-03-02,70,1
10001111283,2010-05-17,60.2,1
10001111283,2010-11-03,177,1
10001111283,2010-11-10,120,1
10001111283,2010-11-19,43.4,1
10001111283,2010-11-29,70,1
10001111283,2010-12-06,7.5,1
10001111283,2011-04-07,46.73,1
10001111283,2011-06-06,39.05,1
10001111283,2011-07-20,85,1
10001111283,2011-08-09,75,1
10001111283,2011-09-15,210.98,1
10001111283,2011-09-24,77.2,1
10001111283,2011-10-04,50.53,1
10001111283,2011-10-11,159,1
10001111283,2011-10-17,6.82,1
10001111283,2012-03-29,89.5,1
10001111283,2012-05-15,119.99,1
10001111283,2012-07-28,160.74,1
10001111283,2012-08-07,200,1
10001111283,2012-09-02,113.06,1
10001118518,2005-01-24,3,1
10001118518,2005-08-23,21.05,1
10001118518,2007-12-14,28.9,1
10001118518,2010-09-22,23.11,1
10001118518,2012-02-03,25,1
10001127930,2005-01-18,25,1
10001677275,2007-12-12,56.13,1
