customer_id,monetary_dnn,monetary_btyd,frequency_dnn,frequency_btyd,recency,T,time_between,avg_basket_value,avg_basket_size,cnt_returns,has_returned,frequency_btyd_clipped,monetary_btyd_clipped,target_monetary_clipped,target_monetary
18242,694.07999999999993,379.82,2,1,17,90,8.5,347.04,204.0,0,0,1,379.82,2232.49,2232.49
16357,257.95,120.05,2,1,51,90,25.5,128.97,27.5,0,0,1,120.05,658.88,658.88
13487,408.8,215.65,2,1,140,230,70.0,204.4,106.5,0,0,1,215.65,575.4,575.4
15433,533.3,160.66,2,1,54,144,27.0,266.65,267.0,0,0,1,160.66,417.87,417.87
12372,914.92000000000007,515.7,2,1,84,173,42.0,457.46,296.0,0,0,1,515.7,1298.04,1298.04
14731,251.01999999999998,123.36,2,1,7,89,3.5,125.51,91.0,0,0,1,123.36,380.02,380.02
17932,934.51,345.5,2,1,38,88,19.0,467.25,296.5,0,0,1,345.5,1331.57,1331.57
14883,358.48,47.92,2,1,48,88,24.0,179.24,161.0,0,0,1,47.92,756.64,756.64
17886,396.26,173.07,2,1,39,126,19.5,198.13,112.5,0,0,1,173.07,899.61,899.61
16660,384.36,101.76,2,1,109,196,54.5,192.18,114.0,0,0,1,101.76,810.45,810.45
15440,237.66,111.86,2,1,72,85,36.0,118.83,62.5,0,0,1,111.86,383.68,383.68
16283,472.47,194.66,2,1,56,85,28.0,236.24,196.5,0,0,1,194.66,1531.51,1531.51
16076,630.92000000000007,325.47,2,1,74,85,37.0,315.46,223.0,0,0,1,325.47,2173.53,2173.53
16877,188.98000000000002,111.23,2,1,56,85,28.0,94.49,52.0,0,0,1,111.23,853.72,853.72
17302,303.12,120.27,2,1,97,182,48.5,151.56,95.0,0,0,1,120.27,1119.93,1119.93
12993,175.3,72.4,2,1,91,175,45.5,87.65,46.0,0,0,1,72.4,414.76,414.76
18043,451.80999999999995,135.35,2,1,160,243,80.0,225.9,123.0,0,0,1,135.35,559.51,559.51
13309,546.64,155.93,2,1,102,185,51.0,273.32,308.0,0,0,1,155.93,1456.79,1456.79
13719,338.74,205.84,2,1,29,111,14.5,169.37,93.0,0,0,1,205.84,1041.68,1041.68
13405,557.45,397.4,2,1,113,194,56.5,278.73,81.5,0,0,1,397.4,572.45,572.45
18145,1023.78,414.77,2,1,108,189,54.0,511.89,431.5,0,0,1,414.77,2861.55,2861.55
13591,776.23,314.03,2,1,62,143,31.0,388.12,131.5,0,0,1,314.03,1117.13,1117.13
15237,1093.6499999999999,154.73,2,1,24,104,12.0,546.82,399.0,0,0,1,154.73,1412.32,1412.32
14514,403.11,147.86,2,1,130,208,65.0,201.56,86.5,0,0,1,147.86,1055.35,1055.35
13527,585.64,475.19,2,1,125,203,62.5,292.82,115.0,0,0,1,475.19,2263.76,2263.76
13946,485.97,276.12,2,1,66,144,33.0,242.99,131.5,0,0,1,276.12,561.57,561.57
17686,3036.75,1444.14,2,1,102,179,51.0,1518.38,611.5,0,0,1,1444.14,5739.46,5739.46
15563,735.62,465.43,2,1,158,235,79.0,367.81,371.0,0,0,1,465.43,1319.69,1319.69
12670,1026.3899999999999,393.34,2,1,33,109,16.5,513.19,244.0,0,0,1,393.34,2986.15,2986.15
17058,819.66000000000008,236.94,2,1,40,116,20.0,409.83,227.5,0,0,1,236.94,1179.89,1179.89
15132,489.87,176.1,2,1,63,139,31.5,244.94,188.5,0,0,1,176.1,977.93,977.93
12654,337.75,171.15,2,1,98,172,49.0,168.88,75.5,0,0,1,171.15,601.98,601.98
12937,428.23,210.8,2,1,70,144,35.0,214.12,134.0,0,0,1,210.8,1504.27,1504.27
14447,601.03,336.03,2,1,84,157,42.0,300.51,156.5,0,0,1,336.03,1163.23,1163.23
16444,224.18,121.0,2,1,70,141,35.0,112.09,66.0,0,0,1,121.0,638.77,638.77
16470,340.71,129.32,2,1,166,235,83.0,170.35,84.5,0,0,1,129.32,757.44,757.44
14515,765.65,340.25,2,1,27,95,13.5,382.82,185.5,0,0,1,340.25,2102.09,2102.09
16969,478.96000000000004,81.6,2,1,57,68,28.5,239.48,370.0,0,0,1,81.6,650.41,650.41
13334,2731.84,1071.4,2,1,115,182,57.5,1365.92,675.0,0,0,1,1071.4,3536.82,3536.82
12517,1538.7,771.75,2,1,64,67,32.0,769.35,420.5,0,0,1,771.75,2464.89,2464.89
14700,1557.6,836.05,2,1,49,115,24.5,778.8,429.0,0,0,1,836.05,2235.3,2235.3
13435,694.98,251.26,2,1,63,66,31.5,347.49,305.0,0,0,1,251.26,3794.49,3794.49
12449,1636.88,777.95,2,1,58,64,29.0,818.44,328.5,0,0,1,777.95,4067.29,4067.29
13637,684.85,262.25,2,1,39,103,19.5,342.43,177.0,0,0,1,262.25,810.5,810.5
16682,626.3,100.8,2,1,29,64,14.5,313.15,281.0,0,0,1,100.8,1028.0,1028.0
14623,397.86,205.18,2,1,49,112,24.5,198.93,97.5,0,0,1,205.18,869.35,869.35
12609,800.73,512.8,2,1,132,195,66.0,400.37,259.0,0,0,1,512.8,1126.85,1126.85
16612,708.90000000000009,428.85,2,1,125,188,62.5,354.45,166.0,0,0,1,428.85,1187.66,1187.66
15799,481.24,161.02,2,1,149,211,74.5,240.62,269.5,0,0,1,161.02,884.14,884.14
12990,263.9,166.4,2,1,125,187,62.5,131.95,65.0,0,0,1,166.4,409.5,409.5
16126,1844.0,952.65,2,1,112,173,56.0,922.0,269.0,0,0,1,952.65,6287.77,6287.77
14477,523.0,358.0,2,1,113,174,56.5,261.5,150.0,0,0,1,358.0,1307.81,1307.81
14561,566.99,344.92,2,1,22,61,11.0,283.5,187.5,0,0,1,344.92,1080.76,1080.76
12808,281.35,151.95,2,1,184,245,92.0,140.68,54.0,0,0,1,151.95,483.65,483.65
12597,1428.81,912.66,2,1,85,145,42.5,714.4,337.5,0,0,1,912.66,3683.13,3683.13
16107,851.7,318.8,2,1,43,60,21.5,425.85,91.0,0,0,1,318.8,3204.16,3204.16
17483,274.74,119.64,2,1,49,60,24.5,137.37,49.0,0,0,1,119.64,414.04,414.04
15681,703.22,357.54,2,1,97,157,48.5,351.61,225.0,0,0,1,357.54,946.36,946.36
14501,251.21,184.28,2,1,136,196,68.0,125.61,80.5,0,0,1,184.28,190.31,190.31
16005,298.08,120.49,2,1,88,147,44.0,149.04,63.5,0,0,1,120.49,615.39,615.39
16370,546.58,271.04,2,1,43,102,21.5,273.29,163.5,0,0,1,271.04,1320.56,1320.56
17088,1399.1100000000001,383.28,2,1,71,130,35.5,699.56,262.5,0,0,1,383.28,1991.01,1991.01
15267,1407.76,372.0,2,1,27,59,13.5,703.88,352.0,0,0,1,372.0,1717.36,1717.36
16633,703.31999999999994,255.8,2,1,54,111,27.0,351.66,150.5,0,0,1,255.8,2878.15,2878.15
16794,496.87,222.13,2,1,32,57,16.0,248.44,261.5,0,0,1,222.13,1210.89,1210.89
14704,221.16000000000003,111.04,2,1,38,57,19.0,110.58,56.5,0,0,1,111.04,1546.91,1546.91
14719,488.12,264.66,2,1,70,126,35.0,244.06,199.0,0,0,1,264.66,1592.18,1592.18
15036,245.69,192.54,2,1,2,56,1.0,122.84,75.5,0,0,1,192.54,465.55,465.55
17043,324.97,150.37,2,1,88,143,44.0,162.49,178.5,0,0,1,150.37,1735.18,1735.18
14321,626.93000000000006,300.11,2,1,157,210,78.5,313.47,577.0,0,0,1,300.11,1530.75,1530.75
16869,387.68,154.15,2,1,10,52,5.0,193.84,121.0,0,0,1,154.15,805.62,805.62
14936,3636.3900000000003,2060.03,2,1,100,152,50.0,1818.2,890.0,0,0,1,2060.03,8117.42,8117.42
17426,3279.23,2085.35,2,1,107,159,53.5,1639.62,920.5,0,0,1,2085.35,5022.26,5022.26
13647,803.86,379.22,2,1,59,111,29.5,401.93,220.5,0,0,1,379.22,1670.22,1670.22
13735,1335.55,420.54,2,1,59,111,29.5,667.77,346.0,0,0,1,420.54,2766.18,2766.18
12421,396.03,238.58,2,1,146,196,73.0,198.01,124.0,0,0,1,238.58,806.27,806.27
12541,536.14,223.74,2,1,107,157,53.5,268.07,209.5,0,0,1,223.74,981.18,981.18
16744,241.69,131.73,2,1,28,50,14.0,120.84,73.0,0,0,1,131.73,1304.76,1304.76
13524,247.7,88.5,2,1,46,96,23.0,123.85,65.0,0,0,1,88.5,680.18,680.18
12432,4016.66,700.0,2,1,2,49,1.0,2008.33,713.5,0,0,1,700.0,5059.32,5059.32
12759,1082.52,637.72,2,1,104,152,52.0,541.26,315.0,0,0,1,637.72,1531.44,1531.44
14422,1032.15,630.84,2,1,97,144,48.5,516.08,270.5,0,0,1,630.84,4263.64,4263.64
15550,279.03999999999996,141.14,2,1,131,178,65.5,139.52,79.0,0,0,1,141.14,575.63,575.63
12412,890.74,376.24,2,1,32,46,16.0,445.37,299.5,0,0,1,376.24,1226.88,1226.88
12697,733.91000000000008,343.41,2,1,38,46,19.0,366.96,179.5,0,0,1,343.41,939.02,939.02
12704,690.37,360.81,2,1,42,46,21.0,345.19,151.0,0,0,1,360.81,2220.84,2220.84
16940,1868.3600000000001,1110.68,2,1,120,166,60.0,934.18,618.0,0,0,1,1110.68,3049.88,3049.88
14818,409.63,291.38,2,1,84,130,42.0,204.81,101.0,0,0,1,291.38,657.8,657.8
17351,427.29999999999995,228.7,2,1,104,150,52.0,213.65,46.0,0,0,1,228.7,587.15,587.15
18017,344.0,179.0,2,1,141,187,70.5,172.0,100.0,0,0,1,179.0,523.0,523.0
13791,1516.0,579.0,2,1,41,45,20.5,758.0,600.0,0,0,1,579.0,1047.68,1047.68
13614,794.98,589.23,2,1,166,207,83.0,397.49,123.5,0,0,1,589.23,1610.46,1610.46
13895,937.3,554.84,2,1,21,41,10.5,468.65,218.0,0,0,1,554.84,2588.12,2588.12
13238,318.85,227.7,2,1,197,237,98.5,159.43,68.5,0,0,1,227.7,680.83,680.83
15208,323.52,258.12,2,1,190,230,95.0,161.76,77.0,0,0,1,258.12,867.62,867.62
17988,78.36,13.37,2,1,165,203,82.5,39.18,9.0,0,0,1,13.37,191.17,191.17
16385,274.85,126.62,2,1,208,243,104.0,137.43,77.5,0,0,1,126.62,555.89,555.89
13373,2055.58,1067.88,2,1,118,153,59.0,1027.79,472.0,0,0,1,1067.88,3312.25,3312.25
14262,545.5,305.5,2,1,83,117,41.5,272.75,204.5,0,0,1,305.5,2618.23,2618.23
15806,521.88,221.52,2,1,119,153,59.5,260.94,206.5,0,0,1,221.52,784.58,784.58
12700,2113.05,1056.62,2,1,59,92,29.5,1056.53,687.0,0,0,1,1056.62,4867.99,4867.99
15675,225.39,180.39,2,1,125,157,62.5,112.69,242.5,0,0,1,180.39,323.69,323.69
16012,1132.1200000000001,767.07,2,1,27,32,13.5,566.06,275.5,0,0,1,767.07,1415.29,1415.29
16842,866.95,346.38,2,1,147,179,73.5,433.48,274.5,0,0,1,346.38,1260.44,1260.44
13835,537.33999999999992,208.89,2,1,60,92,30.0,268.67,145.5,0,0,1,208.89,834.57,834.57
18263,811.40000000000009,503.8,2,1,97,129,48.5,405.7,524.0,0,0,1,503.8,1211.08,1211.08
16929,428.88,199.74,2,1,28,32,14.0,214.44,163.0,0,0,1,199.74,1295.39,1295.39
16014,529.93000000000006,267.0,2,1,139,168,69.5,264.97,114.5,0,0,1,267.0,653.13,653.13
15467,402.56,114.14,2,1,7,29,3.5,201.28,117.5,0,0,1,114.14,511.88,511.88
13064,659.25,455.95,2,1,175,204,87.5,329.63,142.0,0,0,1,455.95,1119.49,1119.49
15561,449.66999999999996,183.92,2,1,66,92,33.0,224.83,47.5,0,0,1,183.92,722.74,722.74
16040,876.18000000000006,453.75,2,1,120,145,60.0,438.09,254.5,0,0,1,453.75,1313.55,1313.55
16657,446.11,203.56,2,1,106,131,53.0,223.06,334.0,0,0,1,203.56,933.62,933.62
13515,335.56,132.16,2,1,99,124,49.5,167.78,153.5,0,0,1,132.16,891.12,891.12
14044,345.18,171.44,2,1,164,186,82.0,172.59,72.5,0,0,1,171.44,652.82,652.82
13705,522.68,204.54,2,1,229,250,114.5,261.34,118.5,0,0,1,204.54,711.86,711.86
13764,945.63,445.74,2,1,193,214,96.5,472.81,295.0,0,0,1,445.74,1521.76,1521.76
14798,97.4,21.72,2,1,166,187,83.0,48.7,52.0,0,0,1,21.72,173.74,173.74
13827,300.76,188.02,2,1,10,20,5.0,150.38,47.5,0,0,1,188.02,412.05,412.05
16232,725.04,358.57,2,1,72,92,36.0,362.52,219.0,0,0,1,358.57,983.23,983.23
13167,417.54999999999995,174.64,2,1,13,20,6.5,208.77,223.5,0,0,1,174.64,791.33,791.33
17754,542.72,310.82,2,1,118,137,59.0,271.36,397.5,0,0,1,310.82,1739.92,1739.92
15380,582.56,352.46,2,1,224,242,112.0,291.28,108.0,0,0,1,352.46,1682.36,1682.36
16891,437.91999999999996,205.66,2,1,230,248,115.0,218.96,79.0,0,0,1,205.66,809.7,809.7
12627,1206.18,438.16,2,1,11,17,5.5,603.09,345.0,0,0,1,438.16,4478.53,4478.53
13029,773.2,390.7,2,1,215,230,107.5,386.6,46.0,0,0,1,390.7,1247.5,1247.5
16099,592.1,273.8,2,1,88,102,44.0,296.05,181.0,0,0,1,273.8,731.9,731.9
14775,701.46,294.9,2,1,235,249,117.5,350.73,401.0,0,0,1,294.9,1011.9,1011.9
14948,543.67,265.27,2,1,82,96,41.0,271.83,176.5,0,0,1,265.27,1066.57,1066.57
17734,540.21,427.23,2,1,97,110,48.5,270.11,171.5,0,0,1,427.23,700.63,700.63
16750,317.74,199.04,2,1,96,109,48.0,158.87,46.5,0,0,1,199.04,623.93,623.93
18211,268.70000000000005,130.8,2,1,142,155,71.0,134.35,76.0,0,0,1,130.8,600.07,600.07
16532,4516.8,2606.4,2,1,203,215,101.5,2258.4,768.0,0,0,1,2606.4,6748.8,6748.8
15861,1130.0,407.52,2,1,133,144,66.5,565.0,438.0,0,0,1,407.52,3000.36,3000.36
17373,287.3,142.05,2,1,178,189,89.0,143.65,100.0,0,0,1,142.05,646.92,646.92
14499,370.96,244.94,2,1,145,155,72.5,185.48,95.5,0,0,1,244.94,815.32,815.32
12456,2265.4,1325.23,2,1,123,131,61.5,1132.7,536.5,0,0,1,1325.23,3153.89,3153.89
14737,1081.75,647.75,2,1,225,230,112.5,540.88,151.5,0,0,1,647.75,1164.55,1164.55
14535,1653.91,799.94,2,1,121,125,60.5,826.96,484.0,0,0,1,799.94,2841.09,2841.09
17092,633.07,498.17,2,1,151,154,75.5,316.54,195.5,0,0,1,498.17,1777.78,1777.78
18079,2206.18,593.35,2,1,112,115,56.0,1103.09,2537.5,0,0,1,593.35,3651.97,3651.97
17602,909.55,142.5,2,1,200,201,100.0,454.77,450.5,0,0,1,142.5,5050.77,5050.77
15831,397.11,141.17,2,1,200,201,100.0,198.56,339.5,0,0,1,141.17,747.76,747.76
12433,3787.12,1867.98,2,1,7,250,3.5,1893.56,1791.0,0,0,1,1867.98,13375.87,13375.87
15485,1278.63,328.54,2,1,37,250,18.5,639.32,301.5,0,0,1,328.54,2575.0,2575.0
13145,413.8,118.8,2,1,245,249,122.5,206.9,12.5,0,0,1,118.8,614.77,614.77
17198,521.66,249.65,2,1,6,248,3.0,260.83,121.0,0,0,1,249.65,692.22,692.22
17135,500.55000000000007,284.97,2,1,82,248,41.0,250.28,210.0,0,0,1,284.97,1139.73,1139.73
13155,569.2,189.5,2,1,42,245,21.0,284.6,131.0,0,0,1,189.5,971.76,971.76
15048,256.45,157.75,2,1,148,245,74.0,128.22,61.0,0,0,1,157.75,380.57,380.57
13652,638.24,329.44,2,1,112,245,56.0,319.12,145.0,0,0,1,329.44,1095.08,1095.08
15858,816.22,432.29,2,1,78,244,39.0,408.11,362.5,0,0,1,432.29,1438.85,1438.85
16221,315.37,148.63,2,1,92,244,46.0,157.69,133.5,0,0,1,148.63,864.86,864.86
17324,702.2299999999999,575.18,2,1,35,243,17.5,351.11,303.0,0,0,1,575.18,990.23,990.23
13077,577.44,263.72,2,1,76,243,38.0,288.72,303.5,0,0,1,263.72,729.27,729.27
16122,249.84,144.12,2,1,34,243,17.0,124.92,223.0,0,0,1,144.12,684.42,684.42
17097,287.64,112.92,2,1,41,242,20.5,143.82,57.5,0,0,1,112.92,941.17,941.17
17816,21.310000000000002,5.1,2,1,96,242,48.0,10.66,11.0,0,0,1,5.1,36.56,36.56
14440,1185.71,529.01,2,1,49,242,24.5,592.86,170.5,0,0,1,529.01,2357.68,2357.68
17827,1583.81,312.01,2,1,122,241,61.0,791.9,480.5,0,0,1,312.01,1995.46,1995.46
17076,334.2,182.7,2,1,91,241,45.5,167.1,56.0,0,0,1,182.7,841.08,841.08
14684,519.26,350.9,2,1,147,239,73.5,259.63,147.5,0,0,1,350.9,1236.28,1236.28
17917,230.45999999999998,119.55,2,1,106,239,53.0,115.23,65.5,0,0,1,119.55,341.28,341.28
13959,337.44,122.7,2,1,81,239,40.5,168.72,99.0,0,0,1,122.7,598.2,598.2
16442,437.03,285.37,2,1,133,237,66.5,218.51,177.0,0,0,1,285.37,616.79,616.79
17158,698.55,284.76,2,1,128,237,64.0,349.27,230.5,0,0,1,284.76,1266.97,1266.97
14553,312.32,110.38,2,1,121,216,60.5,156.16,91.0,0,0,1,110.38,859.27,859.27
